millis,epoch,sync,f1LV,f2LV,f3LV,f4LV,f5LV,f1RV,f2RV,f3RV,f4RV,f5RV
82136, 1542380268, 0, 596, 723, 635, 860, 513, 503, 757, 733, 1153, 601
82146, 1542380268, 0, 606, 728, 635, 865, 513, 503, 757, 728, 1153, 601
82156, 1542380268, 0, 601, 723, 635, 860, 513, 498, 757, 728, 1148, 601
82166, 1542380268, 0, 596, 723, 635, 860, 513, 503, 757, 733, 1153, 601
82176, 1542380268, 0, 601, 723, 635, 860, 513, 498, 757, 728, 1153, 601
82186, 1542380268, 0, 596, 723, 635, 860, 508, 503, 757, 733, 1153, 596
82196, 1542380268, 0, 601, 723, 635, 865, 508, 498, 757, 733, 1153, 601
82206, 1542380268, 0, 596, 723, 635, 860, 508, 503, 757, 738, 1158, 601
82216, 1542380268, 0, 601, 723, 635, 865, 508, 498, 757, 733, 1153, 601
82226, 1542380268, 0, 601, 723, 635, 865, 513, 498, 757, 733, 1153, 601
82236, 1542380268, 0, 601, 723, 630, 865, 513, 498, 762, 733, 1153, 601
82246, 1542380268, 0, 601, 723, 635, 860, 513, 498, 757, 733, 1153, 601
82256, 1542380268, 0, 601, 723, 635, 865, 513, 498, 757, 733, 1153, 596
82266, 1542380268, 0, 601, 723, 635, 860, 513, 498, 757, 733, 1153, 601
82276, 1542380268, 0, 601, 723, 635, 860, 513, 498, 762, 733, 1153, 601
82286, 1542380268, 0, 596, 723, 635, 865, 513, 498, 757, 733, 1153, 601
82296, 1542380268, 0, 601, 723, 635, 860, 513, 503, 757, 728, 1153, 601
82306, 1542380268, 0, 601, 723, 635, 860, 513, 498, 757, 733, 1153, 601
82316, 1542380268, 0, 596, 723, 630, 860, 513, 498, 757, 733, 1153, 601
82326, 1542380268, 0, 596, 718, 635, 865, 513, 498, 757, 733, 1153, 601
82336, 1542380268, 0, 601, 723, 635, 865, 513, 498, 757, 733, 1153, 601
82347, 1542380268, 0, 601, 718, 635, 865, 508, 503, 762, 733, 1158, 601
82357, 1542380268, 0, 601, 723, 635, 865, 513, 503, 757, 733, 1158, 601
82367, 1542380268, 0, 596, 723, 635, 865, 508, 498, 757, 733, 1153, 601
82377, 1542380268, 0, 596, 723, 630, 865, 513, 498, 757, 728, 1153, 601
82387, 1542380268, 0, 596, 718, 630, 865, 513, 498, 757, 733, 1153, 601
82397, 1542380268, 0, 596, 718, 630, 860, 513, 498, 757, 733, 1153, 606
82407, 1542380268, 0, 596, 718, 635, 865, 513, 498, 757, 733, 1148, 601
82417, 1542380268, 0, 596, 723, 630, 865, 513, 503, 757, 733, 1158, 606
82434, 1542380268, 0, 596, 723, 635, 865, 513, 503, 762, 733, 1158, 606
82444, 1542380268, 0, 596, 723, 630, 865, 513, 498, 757, 733, 1153, 601
82454, 1542380268, 0, 591, 723, 630, 860, 513, 498, 757, 728, 1153, 601
82464, 1542380268, 0, 591, 723, 635, 860, 513, 498, 757, 733, 1153, 606
82475, 1542380268, 0, 591, 718, 630, 865, 513, 503, 757, 733, 1153, 601
82485, 1542380268, 0, 596, 723, 630, 865, 513, 503, 757, 728, 1153, 601
82495, 1542380268, 0, 596, 723, 630, 865, 508, 498, 762, 733, 1153, 606
82505, 1542380268, 0, 596, 723, 635, 865, 508, 498, 757, 733, 1153, 606
82515, 1542380268, 0, 596, 718, 630, 860, 513, 503, 757, 728, 1158, 601
82525, 1542380268, 0, 591, 718, 630, 865, 508, 498, 757, 733, 1153, 606
82535, 1542380268, 0, 596, 723, 630, 865, 513, 503, 762, 733, 1158, 606
82545, 1542380268, 0, 591, 718, 630, 865, 513, 498, 757, 733, 1153, 601
82555, 1542380268, 0, 596, 718, 630, 860, 508, 503, 757, 733, 1153, 606
82565, 1542380268, 0, 596, 723, 635, 860, 508, 503, 762, 733, 1158, 601
82575, 1542380268, 0, 596, 723, 635, 865, 508, 498, 762, 733, 1153, 601
82585, 1542380269, 0, 591, 718, 630, 860, 508, 503, 762, 728, 1158, 606
82595, 1542380269, 0, 591, 718, 635, 860, 508, 498, 762, 733, 1153, 606
